,#10,#11,#12,#13,#17,#18,#26,#49,#50,#51,#52,#53,#54,#58,#101,#102,#201,#202,#301,#302,#401,#402,#501,#502,#601,#602,#701,#702,#801,#802,#901,#902,#1001,#1002,#1101,#1102,#1201,#1202,#1301,#1302,#1401,#1402,#1501,#1502,#1601,#1602,#1701,#1702,#1801,#1802,#1901,#1902,#2001,#2002,#2101,#2102,#2201,#2202,#2301,#2302,#2401,#2402,#2501,#2502,#2601,#2602,#2701,#2702,#2801,#2802,#2901,#2902,#3001,#3002,#3101,#3102,#3201,#3202,#3301,#3302,#3401,#3402,#3501,#3502,#3601,#3602,#3701,#3702,#3801,#3802,#3901,#3902,#4001,#4002,#4101,#4102,#4201,#4202,#4301,#4302,#4401,#4402,#4501,#4502,#4601,#4602,#4701,#4702,#4801,#4802
0,14.066889,-1.187898,-4.807454,0.035486,5.21582,23.269458,1.935383,19.31222,22.629465,12.740188,21.999054,22.253087,43.924808,20.693318,-3.808374,-2.326065,-3.135405,-22.253639,-5.486078,1.815618,-3.206435,-1.797198,6.277106,9.666021,2.559306,0.59907,2.798912,1.564457,14.238603,-2.538728,-11.55122,5.69973,4.097822,-7.081064,22.627327,-9.477386,2.034878,-14.592012,-5.850878,5.284927,-11.10647,-6.122581,0.640132,-0.250619,-6.157298,9.626052,0.619364,1.048821,-16.212553,-1.097278,-0.97127,-6.318494,3.385302,-1.477595,8.183521,1.893275,1.653239,2.975532,5.596945,-0.490538,22.80728,11.028254,-1.721866,-9.021145,-6.470987,-7.978718,5.81611,1.995803,-0.59946,-8.223338,-2.578306,-9.073464,-2.954927,-2.979937,-0.62332,5.066658,16.716837,1.256212,10.551243,-3.564692,6.881933,16.204467,-24.224481,14.529368,-2.580812,27.339587,17.014498,-18.773981,3.439804,8.565413,21.796577,13.103198,33.122193,28.604769,18.55823,9.807413,-4.319956,-2.81246,-4.31469,-10.415025,-4.864646,-12.098785,13.553014,1.44142,-3.913069,4.512656,20.688712,-1.905008,11.672999,7.116261
1,11.948642,-1.990576,-7.277544,-0.225264,3.383035,26.818087,17.217873,14.887074,28.868424,5.840212,14.19898,28.996944,54.52665,47.058478,-8.50148,-26.214857,-9.727495,-38.211805,-8.944319,-13.720783,3.896925,-12.023404,23.530987,3.725401,34.541807,-0.62845,6.64677,2.664727,13.943151,-7.123419,-20.31709,6.694788,2.990874,0.456892,20.343266,-3.505009,1.095664,-14.319219,12.258488,13.825089,6.647456,1.539196,3.94422,-0.487398,1.665669,10.216834,0.86659,7.381113,-14.231854,2.841523,-5.507261,-8.089446,10.866699,1.225081,14.316977,9.315802,13.589062,9.006286,15.752908,18.937056,44.142725,20.711803,7.286844,-33.709359,-6.918535,-7.459946,7.538924,0.85867,-29.121235,-17.595067,-28.156324,-25.563804,-8.422215,-10.419131,0.267325,-4.406725,16.086981,22.106249,5.626189,-10.434276,-8.208813,29.112065,-55.231091,-0.543147,9.896204,34.805763,17.282112,-0.4617,-1.898917,8.68945,30.639417,7.254702,60.075713,49.963411,29.127641,21.002161,-5.205347,0.265555,7.970758,3.49456,-7.223179,1.115754,24.67506,7.341106,-1.249468,23.639581,37.327069,7.70986,16.629597,8.361688
2,-0.524691,-2.882046,-4.87793,1.554374,-3.264482,16.718467,22.831053,-9.501365,14.828493,-12.010176,-14.621959,9.872199,27.863866,49.085279,-6.346952,-43.996405,-16.333243,-21.41113,-4.155036,-26.231066,13.025418,-16.639919,26.085092,-10.130003,47.253377,-2.130219,7.834537,5.612279,1.529887,-7.748032,-19.982115,7.356984,2.345563,11.528833,-3.513834,6.906377,-1.503506,-2.532731,33.066119,18.272799,21.96129,12.111948,5.710206,-1.015418,7.833005,6.059143,2.516567,15.397866,0.581264,13.982672,-7.199053,-3.220036,12.830097,9.188901,13.006288,15.851385,20.99309,13.085293,14.432021,27.486728,30.768269,14.891836,7.25957,-51.744721,12.319239,4.97303,-5.849828,-3.657588,-53.968142,-21.545709,-47.139247,-33.348234,-2.68059,-8.148062,3.699306,-12.127906,-5.814306,23.332576,-8.890858,-15.081214,-20.442469,22.165066,-59.706681,-27.34712,15.92437,18.586601,3.684497,17.277676,-14.00603,-0.879268,8.932361,-12.111594,51.469977,45.165565,29.542639,24.027698,-3.633143,15.072988,26.850273,36.130124,-6.345138,25.521559,14.457203,13.772934,3.876064,33.425599,22.874108,6.141392,5.249694,6.561445
3,-14.81629,-3.814715,0.301054,8.885886,-13.460799,-4.129541,14.221617,-33.66719,-10.872861,-23.516315,-44.863973,-34.594,-25.54538,7.744694,3.753688,-35.730614,-16.667292,20.999906,5.714198,-26.622098,16.285854,-8.581027,12.792256,-15.998956,25.615231,-0.898043,9.917226,10.020101,-15.502188,-4.439085,-3.153121,10.846149,3.443769,15.034651,-32.467121,12.323685,-7.760282,8.865212,39.091668,15.503701,25.896217,17.453753,3.718633,-2.091949,7.324464,0.361335,3.055831,17.735976,18.621599,33.129801,0.127614,7.694489,13.642907,22.37949,9.94098,15.87883,16.652215,9.648742,2.229845,18.688221,-15.674505,-8.11894,-11.100542,-47.58644,50.819802,21.791761,-29.063079,-5.790291,-57.479081,-19.375989,-47.019405,-26.606915,14.296599,4.53555,4.537931,-13.92375,-36.183789,-2.128594,-24.251036,-18.473062,-27.594747,-9.629511,-39.333261,-51.927309,5.317823,-12.182381,-16.333008,21.147099,-27.452924,-13.698098,-34.348494,-32.669463,8.994459,16.192926,20.159097,15.224397,1.883712,31.546566,39.796727,67.970925,7.850085,43.526887,-12.297756,10.145718,5.500098,19.049499,-21.735754,-18.815642,-17.203311,2.199306
4,-20.76894,-4.783866,3.027211,18.217567,-22.584167,-25.757185,1.674024,-33.474325,-29.720554,-15.862921,-51.354258,-80.97051,-68.032021,-58.983726,14.522673,-2.036757,-7.783641,53.547294,12.356615,-16.001011,10.941774,9.12306,-4.819972,-6.168024,-14.377802,0.996556,14.074551,11.991403,-24.821149,-1.98579,25.601397,15.846351,0.823828,4.729547,-39.963912,7.780767,-17.547839,8.994327,23.271929,6.386411,21.366529,14.599806,-1.33793,-3.029459,1.204026,-3.709396,-0.447473,9.154848,24.818769,49.739099,13.213839,16.963168,15.816176,32.50922,11.452368,6.363904,3.448553,-0.940355,-10.911369,2.884243,-61.25682,-34.601171,-39.339441,-19.976922,85.397962,28.207206,-42.068727,0.529969,-38.565659,-15.043349,-29.991794,-11.521461,30.143591,16.302589,0.009427,-11.669076,-49.245133,-33.619265,-29.817185,-22.079496,-33.576308,-47.361472,-9.345531,-56.91462,-13.793651,-35.146333,-29.691622,15.814373,-30.911981,-18.270463,-62.323526,-37.841263,-33.348251,-13.915653,4.715979,-1.942819,6.375286,30.41078,32.072174,70.304695,31.061549,40.531406,-35.305076,-8.149967,-4.094933,-12.816912,-68.438143,-50.190119,-33.719649,-3.63812
5,-16.907233,-6.033673,-1.443786,17.506261,-24.809952,-36.36665,-2.515804,-7.887402,-30.80107,3.136056,-29.097886,-98.455584,-65.95048,-105.292683,16.324594,32.369805,4.619349,43.74049,10.498409,-3.887781,3.811841,23.856741,-15.125669,8.95555,-39.91158,-1.1761,17.416458,7.947648,-20.342095,-4.584003,47.294489,15.153802,-11.450156,-13.388566,-19.150789,-2.856074,-23.300862,-1.145831,-2.291837,-5.401095,13.9774,7.154748,-5.418795,-2.715667,-3.440632,-5.669639,-6.893351,-7.039405,13.407876,49.209346,22.052599,16.302673,16.253263,27.698472,16.484362,-9.47821,-6.641376,-10.961747,-14.258407,-3.351907,-72.951692,-47.135815,-54.564802,14.246494,86.514235,16.908772,-31.38778,12.457962,-12.939933,-12.168281,-10.435685,-0.215413,31.885855,15.032768,-5.034327,-8.564532,-30.762597,-41.533709,-22.545855,-25.572963,-38.372724,-61.702917,19.60817,-35.09539,-22.527981,-36.995758,-28.386223,12.856134,-15.897034,-9.835145,-47.033196,-22.660417,-43.957259,-23.767742,-12.264265,-21.227905,2.458842,2.107291,1.408354,31.788603,42.966969,16.825838,-41.024986,-35.070472,-25.918676,-39.535699,-87.955213,-55.592095,-32.723947,-8.390334
6,-9.995276,-7.321669,-12.007719,-1.383203,-17.236309,-28.964317,0.812685,18.150498,-19.12246,12.641596,0.665243,-73.852328,-20.881114,-97.223744,7.00131,40.688291,9.8207,-5.551426,2.848437,2.170084,4.524358,23.786109,-16.154566,13.175868,-33.156156,-6.955837,16.958987,-0.349419,-7.467313,-10.377327,41.767266,2.842713,-29.018307,-25.782103,6.202521,-12.02648,-13.249871,-11.840237,-17.18309,-15.222369,2.316295,-0.478403,-4.186461,-0.887603,-0.257745,-6.339048,-10.123999,-19.468681,-4.661251,28.333419,20.350274,5.574092,10.859568,4.981328,17.645705,-22.89859,-4.393682,-12.600609,-5.617952,5.157016,-50.106694,-39.638896,-38.940044,32.605866,47.042435,-2.979511,-6.958932,17.695782,3.680147,-9.742312,-1.122595,1.850603,19.371997,1.339573,-2.536421,-4.227408,6.020185,-18.555495,-8.886161,-26.679626,-35.502975,-39.699993,43.935181,1.301839,-13.44616,-25.609255,-14.550513,11.272774,13.354605,4.08134,-1.939939,1.308366,-26.881257,-14.962148,-26.110199,-36.430838,-9.739122,-38.173401,-34.808165,-25.774407,27.399132,-13.726499,-33.828482,-55.226195,-47.440525,-43.571801,-73.715515,-23.150754,-20.596495,-9.612855
7,-5.409321,-7.567833,-20.332279,-29.340426,-2.996555,-6.431636,-0.635119,20.019947,-7.661707,2.549308,12.206542,-22.29252,30.961116,-42.823815,-5.369019,19.557959,2.098047,-56.374227,-3.192644,3.835336,14.070039,8.749614,-13.78006,3.676272,-7.56365,-9.117904,13.605186,-6.295847,2.618713,-12.61268,7.63786,-17.107873,-36.389534,-23.886196,6.969422,-16.123388,15.538153,-16.255259,-12.703549,-19.460795,-17.511603,-7.675597,2.598586,1.389189,9.294418,-5.400165,-3.93959,-17.540727,-11.519708,0.855661,11.516331,-5.846882,0.882173,-22.585318,10.078773,-25.562062,6.53401,-6.367769,7.520786,16.85015,-19.074567,-20.204276,2.91891,24.883921,-7.25159,-13.758195,7.46311,6.352381,10.099442,-3.812369,-1.609932,1.018629,4.61296,-11.208762,8.408194,3.294007,31.414681,11.863893,2.259611,-23.013747,-20.584234,1.707124,55.563765,27.406332,-0.050002,-18.017244,2.602151,-1.919803,39.353452,10.795969,29.414816,16.956123,-13.789015,-7.629663,-32.81963,-41.216382,-19.535919,-58.852619,-50.921048,-62.524551,-7.29505,-35.221517,-24.521968,-51.727367,-48.227944,-26.662004,-40.182128,21.987804,-13.499527,-8.043108
8,-1.336176,-5.794927,-17.382773,-44.255441,9.964771,18.604301,-13.58078,-0.345872,-3.636074,-14.649994,1.613573,26.611833,51.660801,18.078065,-10.498055,-9.015,-13.194083,-69.884686,-3.0977,8.175137,21.960199,-9.201373,-13.576139,-6.868294,7.714235,-2.482916,10.392998,-5.167554,3.454048,-6.725698,-32.026696,-31.615572,-21.147046,-11.504787,-16.356585,-16.609902,47.515271,-15.599644,0.263544,-17.449281,-39.842677,-15.28677,9.7365,2.712282,16.308633,-2.036924,11.027273,-1.515392,-0.792193,-15.297182,3.527751,-7.658377,-7.597496,-34.959135,-2.441608,-16.237909,13.254506,-0.370975,15.518836,16.267262,-0.424865,-0.836375,46.209912,0.60135,-40.278103,-6.742787,1.117324,-16.461895,16.186822,6.856635,-0.272482,6.917697,-2.224174,-10.185813,18.099218,11.96707,27.352992,20.719014,7.293886,-13.761818,1.51599,30.541276,40.857722,26.609967,-0.338963,-18.890427,13.277723,-29.94175,43.574762,4.888855,19.018185,16.762835,-23.454101,-15.069193,-31.497888,-30.852633,-16.056826,-40.332811,-35.490375,-55.800778,-33.719858,-40.287076,-14.892446,-19.279812,-18.399338,-4.827592,-3.750696,41.669213,-16.818047,-7.255157
9,6.121965,-2.165787,-2.94451,-32.053164,14.5243,31.089905,-27.891139,-17.89894,-3.52618,-18.299312,-11.18816,52.431513,34.125477,51.535908,-6.131249,-20.69297,-23.875523,-40.587973,1.058491,17.913729,16.598765,-16.593317,-16.164558,-6.997848,-2.160442,7.811924,7.294269,0.303235,-1.935616,4.378446,-48.249353,-29.897273,10.488643,0.244182,-31.551322,-14.844907,57.139714,-13.143897,3.996422,-11.857574,-49.090137,-20.805336,10.582183,2.67946,12.71341,2.263037,25.896647,16.216383,15.152641,-15.792577,-0.33357,1.015733,-10.279947,-23.823441,-11.394083,-1.978168,7.500749,-0.671229,14.591528,0.691012,9.975749,12.658136,66.343604,-19.463432,-39.559967,9.042608,-11.215627,-32.46504,27.74247,18.189922,12.149511,20.004103,-3.231756,2.615634,15.67493,15.651017,3.559867,4.287203,8.571118,0.088822,20.743802,28.966266,-0.788729,6.422482,-13.846593,-16.079533,12.26041,-53.268313,22.06204,-7.042056,-16.608404,7.084217,-38.331234,-27.631506,-25.60643,-7.541933,-1.406903,4.216686,-2.830365,-20.679325,-33.495525,-32.036649,0.1362,26.461341,27.001004,7.205735,28.439636,23.348241,-17.443474,-8.716695
