,#10,#11,#12,#13,#17,#18,#26,#49,#50,#51,#52,#53,#54,#58,#101,#102,#201,#202,#301,#302,#401,#402,#501,#502,#601,#602,#701,#702,#801,#802,#901,#902,#1001,#1002,#1101,#1102,#1201,#1202,#1301,#1302,#1401,#1402,#1501,#1502,#1601,#1602,#1701,#1702,#1801,#1802,#1901,#1902,#2001,#2002,#2101,#2102,#2201,#2202,#2301,#2302,#2401,#2402,#2501,#2502,#2601,#2602,#2701,#2702,#2801,#2802,#2901,#2902,#3001,#3002,#3101,#3102,#3201,#3202,#3301,#3302,#3401,#3402,#3501,#3502,#3601,#3602,#3701,#3702,#3801,#3802,#3901,#3902,#4001,#4002,#4101,#4102,#4201,#4202,#4301,#4302,#4401,#4402,#4501,#4502,#4601,#4602,#4701,#4702,#4801,#4802
0,-6.709387,2.007202,4.37399,2.296722,-2.308859,10.42836,-24.821582,-3.93982,7.74157,-3.741103,5.111969,-6.20558,-26.084672,0.568354,0.267811,-1.079554,1.784222,8.221847,4.233687,-6.612077,1.394062,-5.964823,-1.190672,1.523048,4.626202,-8.401649,1.179508,-1.09002,6.35229,-1.250249,6.125808,6.50722,-15.591224,-1.600111,-8.561909,-1.125438,-5.227587,-4.868173,3.683291,-11.120025,12.318024,1.238371,1.785115,-0.344567,5.935614,2.483246,0.428106,0.420323,5.051972,-6.292929,5.208498,-2.616859,7.760404,3.917297,4.381507,-2.458993,1.822879,-4.513451,10.080931,5.221902,-7.172927,0.312237,3.457215,-6.144622,1.741807,-9.652689,-0.232894,-8.262792,-4.672645,-7.514142,-14.775804,-1.653059,-18.142747,-1.144194,-20.433356,-10.354909,-13.740424,-0.998331,6.39488,2.757406,15.199771,-0.860964,9.824152,-10.380792,-11.708299,4.675455,0.834892,3.362212,7.275578,0.282268,7.14844,4.02176,12.261583,12.476823,-1.754246,-2.115689,-1.285725,-3.98288,3.255783,-1.202671,-3.06347,-3.122771,-33.768864,-20.849248,-19.395145,-12.89179,-20.823393,1.243227,10.630273,8.859006
1,-4.466541,4.018751,3.604871,0.545954,-3.439198,10.083409,-20.391726,0.625697,10.510731,2.000077,12.63535,-2.18556,-23.797746,4.511682,-0.037544,-1.12437,-2.541894,4.204556,5.460009,-7.429033,7.843644,-6.092778,1.288555,3.059668,4.763871,-12.384461,-0.737874,-1.924386,3.323499,-5.177777,1.587395,2.354577,-24.157472,-6.896843,-13.515756,-2.652305,-8.561936,-14.802324,7.763973,-17.777559,19.070644,-2.739699,1.993912,-1.098381,12.984468,-2.342494,-3.982665,0.395307,8.848209,-2.255298,3.566412,-2.680253,8.882897,0.17399,0.904807,-11.893482,4.42907,-9.724925,14.799026,9.273664,-10.180432,-7.093636,1.436691,-11.860996,-0.510821,-16.125483,-2.043205,-9.889409,-11.830056,-4.89216,-14.819946,-5.350611,-21.797079,2.505076,-23.50033,-12.950683,-16.605166,-4.252075,6.71983,-3.427264,10.632159,-2.187969,33.685038,-7.570752,-11.661329,7.643441,4.136606,-2.577743,10.056159,0.691212,15.38585,9.92959,16.427241,12.62507,-2.236447,0.448016,-3.35948,-4.355079,-1.919469,-6.512362,-2.072079,-5.19607,-47.220172,-40.367082,-28.892126,-26.731589,-26.284577,-12.083745,17.054383,15.49329
2,1.326293,6.379662,-0.271622,-0.778942,-0.67974,1.296188,-0.317232,2.846962,6.13912,11.13767,8.80028,2.216547,-1.814939,-4.419634,1.501253,1.139354,-9.709697,-3.272478,4.559474,1.921837,9.841577,-0.736787,6.50161,4.56486,3.809102,-5.381498,-3.185633,-1.244653,-0.342006,-4.649627,-2.113472,-4.407194,-19.814282,-5.798236,-2.824778,-0.462386,-3.288135,-14.190814,5.947318,-8.053574,14.181957,-3.520881,0.085045,-1.498568,12.229332,-6.646492,-8.747524,0.169497,3.046941,4.61402,-4.053935,-2.473712,4.973161,-8.047306,-4.989123,-13.913185,1.502795,-8.514896,10.111126,6.201749,-16.912654,-12.604193,-2.302022,-6.500809,-1.778157,-9.769482,-0.683851,-3.178389,-5.859609,4.290653,-3.993261,-5.530979,-12.734204,2.834573,-11.733098,-6.72073,-12.566502,-8.191504,5.237137,-6.537273,-3.007856,-0.150572,32.175045,2.712947,-6.198857,5.3571,6.397387,-6.251603,2.534172,0.588677,13.637708,9.794516,9.858087,4.414712,-1.368073,6.24752,-5.935979,-2.427074,-6.821386,-10.089808,-0.571463,-5.900686,-21.683385,-29.526014,-16.345899,-23.243288,-18.616357,-21.050722,11.013376,10.853409
3,4.464988,7.375018,-0.674656,0.465958,4.423472,-8.921174,19.039334,-0.79589,-1.306575,16.365062,-5.396505,0.793161,23.437686,-21.645652,3.072875,4.411108,-8.513139,-3.90215,1.446392,15.826592,5.61327,7.467309,6.539189,5.050509,1.999745,5.068755,-1.735707,1.057223,-2.781947,0.046114,-0.233892,-8.294578,-3.282025,-0.542046,11.62691,2.769667,2.454022,-5.060636,3.050197,9.20164,-0.459625,-1.814349,-2.931887,-1.243358,2.139986,-5.775435,-9.752921,-1.072972,-7.323586,8.465971,-9.416568,-1.276718,2.754307,-9.353071,-7.637607,-4.937549,-6.064921,-3.611512,-2.909624,-2.562849,-15.179304,-5.298898,-7.043903,5.803696,4.441492,10.946202,1.922612,6.307438,6.792103,12.206899,10.444806,-1.263233,-3.546939,-1.95536,0.501984,3.085505,-8.186252,-9.332806,3.663833,-4.644021,-16.064841,2.496317,-1.977299,9.289016,0.393629,0.738866,4.462865,-4.557018,-9.358453,-0.50294,0.125693,3.000931,-1.805476,-7.340224,4.158961,9.388963,-1.314134,3.458299,-4.973248,-4.443997,5.042954,-2.663198,32.017807,8.260232,13.027843,1.579583,0.928803,-20.320452,-2.893768,-3.384949
4,2.345946,6.573329,6.008726,3.80367,7.346514,-12.254042,21.704824,-7.362748,-4.626624,13.730177,-15.506589,-8.678488,29.293974,-32.268967,2.834211,7.490775,6.789711,5.597926,-0.226121,24.217834,-0.184437,15.427624,-2.778798,5.507503,-0.366931,6.611326,3.481739,3.451752,-4.85265,3.620028,7.148766,-8.139497,13.807631,0.887758,10.404199,2.099149,-2.797794,1.222833,7.675966,16.340828,-13.201464,-1.19499,-5.048622,-0.132919,-11.766701,-1.325406,-6.336911,-3.525972,-11.786029,6.092878,-5.572489,0.410211,5.434217,3.882241,-6.222004,9.527831,-15.039846,-1.824338,-16.1006,-9.704301,0.22042,10.333264,-11.531386,13.374262,21.028655,32.564992,1.196736,10.5267,14.759522,13.061876,22.412297,4.903542,-5.857171,-7.959738,-3.089665,7.017935,-10.015425,-6.956884,3.497151,1.210105,-22.428207,1.869355,-42.515252,3.164775,1.123113,-2.511534,-1.324604,-0.863819,-15.931783,-2.082104,-15.541638,-5.670219,-7.952956,-15.137393,15.358702,6.392089,13.083126,12.393745,2.300828,11.251958,16.480668,4.98684,75.365788,41.986229,36.250962,30.373047,18.336408,-17.17634,-12.788271,-16.519111
5,-1.59576,4.573422,14.207045,5.333633,5.411162,-6.077477,6.621049,-11.170257,-2.3243,5.502857,-9.62386,-20.270147,9.704288,-27.075396,1.20952,9.84989,26.192918,16.686525,3.28771,21.781512,-2.460887,20.928968,-13.940972,7.254266,-2.580059,-2.54611,6.954891,3.595809,-7.340064,1.813072,15.785644,-6.549084,18.517316,-4.230412,-10.129653,-3.211865,-17.483095,-1.285844,20.029611,7.967159,-14.3109,-2.853174,-4.686418,1.748774,-20.780439,1.021441,-1.994815,-6.079191,-6.238794,0.042217,5.908042,0.804151,8.274402,23.80978,-4.866473,18.737005,-21.361026,-4.677592,-21.360581,-9.481702,17.489867,16.654638,-13.488416,10.269626,39.470756,36.586409,-3.729493,7.412041,15.867177,8.822959,30.832881,8.594508,-15.037319,-9.313586,-19.645909,2.116487,-15.464238,-2.451065,4.315041,8.704849,-22.939116,-2.29522,-54.784224,-10.990594,-7.38872,-3.668491,-6.723408,-0.978929,-14.264567,-3.136928,-20.492553,-10.345581,-5.190833,-15.578555,27.171234,-0.287368,28.112364,18.181161,7.128614,27.515857,27.812244,13.39388,76.169414,44.920692,34.117933,39.282081,19.122637,-20.817402,-12.659784,-19.659523
6,-3.235996,1.055485,13.896736,0.898125,0.220647,4.213468,-12.868486,-10.020892,-1.106886,-3.490441,6.855308,-24.000044,-17.671109,-11.824146,-0.089915,10.22595,31.917669,18.359263,10.27442,11.371069,-1.765523,21.509214,-12.739427,8.40609,-3.212627,-9.608473,4.504797,0.290681,-8.360699,-3.255705,20.633618,-4.670953,8.750045,-8.192064,-29.844227,-7.758245,-24.544199,-4.83719,28.652569,-1.393324,-5.666272,-3.324935,-1.848079,3.803288,-19.350753,-0.99714,-0.182865,-6.916441,2.799012,-4.246387,16.476492,-1.138078,5.428345,32.310984,-5.757628,16.726823,-20.588751,-5.983882,-17.45478,-3.496062,19.2415,3.852884,-11.04084,2.455234,43.242086,18.020417,-7.685891,2.048069,16.861952,4.988569,33.684027,6.847165,-15.047303,-4.306803,-27.394687,-4.289299,-14.016952,3.63645,3.763245,14.807835,-20.041112,-6.417158,-31.277739,-19.88489,-20.002878,-4.322479,-7.426825,-5.263104,-10.015791,-2.949167,-11.142657,-8.966843,-0.950049,-12.008446,31.056186,-4.956386,29.931929,13.348992,5.36686,31.531173,28.573657,17.684932,38.270545,22.799678,10.627512,22.056992,3.542264,-27.862753,-8.069048,-14.138051
7,-3.216104,-5.304389,1.942073,-8.974736,-4.890046,9.258468,-22.563282,-6.1133,-7.837841,-10.523239,16.157306,-15.106418,-29.198923,0.861643,-0.556702,6.225613,17.80842,9.459734,13.658676,-1.041751,-2.434995,14.432611,6.479858,4.014728,-0.723172,-1.298013,-0.889617,-4.977302,-5.294586,-5.185018,17.819855,-0.735039,-4.045443,-1.48355,-24.415077,-5.847173,-9.228092,2.526422,22.146297,5.840076,2.29077,1.497875,1.627844,5.017146,-9.235294,-3.365243,-0.304794,-5.007094,6.354774,-3.97837,18.498229,-3.924267,-1.164834,19.604991,-5.006283,8.852808,-9.846703,-0.392824,-9.939989,1.54215,3.431909,-15.887486,-5.045924,-0.626474,22.889557,-7.496297,-5.273426,-0.232313,20.284164,2.543153,24.863573,0.711085,1.872284,2.989992,-9.659745,-3.123962,1.560296,11.602785,-0.317926,15.839919,-13.159207,-7.25204,2.359893,-17.816469,-25.445038,-4.98548,-3.312752,-6.790948,-9.194222,-1.423872,2.796217,-4.714123,-3.634784,-10.299034,22.263083,-4.012635,14.28458,-2.383935,2.287098,18.800958,14.337899,16.774478,-3.821328,5.887691,-11.539922,-2.847631,-12.262161,-23.590745,-7.907121,-8.0255
8,-4.974244,-13.75366,-13.262853,-17.471291,-8.405181,3.358444,-19.392583,-1.678221,-19.650032,-15.169526,7.869137,0.920658,-19.078934,5.971385,-1.018124,-2.939211,-2.890823,-1.130789,8.344033,-12.480626,-5.341127,-0.166771,31.511236,-8.252606,5.149485,19.197065,-2.436836,-8.64094,1.059261,-0.834466,5.111843,5.186069,-5.475879,14.401947,7.369232,1.433509,21.981279,20.629895,2.855193,27.486349,2.258919,10.621127,3.065911,4.533103,1.921887,-1.553342,0.925306,-1.15792,3.096214,-1.120425,11.186918,-4.493158,-3.503291,-4.545301,2.392202,6.579793,8.311606,8.160705,-4.847103,1.273489,-12.308129,-20.792686,0.846928,1.710593,-11.990408,-18.085126,1.706979,-0.040893,18.078237,-2.817187,2.671744,-5.159847,24.72472,7.097993,24.190699,5.005921,26.040112,19.343371,-7.229942,9.484867,-1.611096,-4.972296,16.520352,-13.23506,-15.835999,-3.81256,1.499067,0.805186,-10.875181,0.889816,7.745715,-2.923515,-11.157581,-12.063061,4.092527,1.599383,-8.332779,-19.179074,5.121371,-2.444353,-7.216458,13.911998,-20.023372,13.618822,-15.256847,-11.260988,-11.95934,0.121147,-12.624504,-5.527299
9,-8.421867,-19.240528,-20.093525,-16.40467,-10.492754,-10.001179,-10.652323,3.702027,-24.664822,-16.552194,-9.516818,13.155304,-2.963133,9.086065,-1.340917,-13.410646,-12.246036,-6.260378,-2.308488,-22.555208,-5.422406,-16.484729,41.142327,-22.856996,12.409157,32.944848,1.428446,-7.821647,6.165186,5.564943,-16.55907,7.946906,7.142031,26.063274,39.62873,6.829426,44.609617,34.400911,-14.488174,40.751663,-3.207753,17.495336,0.992655,2.316881,6.997842,2.848733,4.301642,2.382405,-0.870372,0.857804,-0.138069,-1.378171,1.465349,-20.755081,14.49081,14.18711,24.909088,10.34628,-2.775217,-2.034018,-10.238808,-5.453475,3.47961,1.028686,-38.830719,-7.660787,5.006987,-1.980237,2.358718,-12.891663,-21.102025,-6.326287,35.53554,6.270481,46.386968,9.681222,44.885644,21.599935,-12.88412,-2.153879,10.197936,-1.702754,7.484988,-16.108091,4.841532,0.790453,2.923406,14.17365,-9.615189,2.745085,0.004425,-5.893621,-12.521442,-12.612649,-15.226114,7.942985,-23.075605,-25.28908,11.653165,-18.931679,-23.018566,11.298487,-12.642861,32.123197,-6.091567,1.298647,4.644669,31.070398,-13.50441,-2.574159
